LAT,LON,weighted_count
34.0452,-118.3257,2.625
34.044,-118.3264,0.0
34.0412,-118.3279,5.25
34.0343,-118.3308,7.875
34.0309,-118.3314,5.25
34.0295,-118.3317,2.625
34.0276,-118.3317,13.125
34.0256,-118.3317,7.875
34.0243,-118.3317,0.0
34.0343,-118.3319,2.625
34.0241,-118.232,0.0
34.0241,-118.232,34.125
34.0241,-118.232,18.375
34.0472,-118.3189,8.75
34.0454,-118.3189,15.75
34.0436,-118.3189,13.125
34.0384,-118.3189,0.0
34.038,-118.3189,3.5
34.0359,-118.3189,2.625
34.0349,-118.3189,7.0
34.0339,-118.3189,0.0
34.0289,-118.3188,0.0
34.0255,-118.3189,5.25
34.0229,-118.3189,5.25
34.0212,-118.319,13.125
34.0183,-118.3193,2.625
34.0146,-118.3193,13.125
34.0108,-118.3193,0.0
34.0072,-118.3193,7.875
34.0055,-118.3193,2.625
34.0037,-118.3193,5.25
34.0025,-118.3192,0.0
34.0017,-118.3192,2.625
34.0008,-118.3192,0.0
34.0,-118.3192,0.0
33.9962,-118.3193,0.0
33.995,-118.3193,0.0
33.9932,-118.3193,10.5
33.9909,-118.3193,6.125
33.9891,-118.3196,0.0
33.9855,-118.3196,2.625
33.9824,-118.3197,0.0
33.9805,-118.3197,5.25
33.9794,-118.3197,0.0
33.9782,-118.3197,13.125
33.9764,-118.3197,0.0
34.0234,-118.2878,0.0
34.0199,-118.2909,2.625
34.0219,-118.2959,0.0
34.0527,-118.3176,15.75
34.0509,-118.3185,3.5
34.0498,-118.319,19.25
34.0472,-118.3201,13.125
34.046,-118.3201,0.0
34.0454,-118.3201,7.875
34.0436,-118.3201,5.25
34.0418,-118.3201,10.5
34.0409,-118.3201,5.25
34.0399,-118.3201,0.0
34.0387,-118.3201,10.5
34.038,-118.3201,2.625
34.0358,-118.3201,0.0
34.0352,-118.32,0.0
34.0344,-118.32,0.0
34.0297,-118.32,0.0
34.0256,-118.3201,5.25
34.0229,-118.3201,7.875
34.0203,-118.3201,0.0
34.0183,-118.3203,18.375
34.0146,-118.3204,14.0
34.0127,-118.3204,0.0
34.0108,-118.3204,10.5
34.0072,-118.3204,2.625
34.0055,-118.3204,5.25
34.0037,-118.3203,0.0
34.0025,-118.3203,2.625
34.0017,-118.3203,5.25
34.0,-118.3203,5.25
33.9987,-118.3203,2.625
33.9975,-118.3204,0.0
33.9962,-118.3204,5.25
33.995,-118.3204,10.5
33.9932,-118.3204,5.25
33.9909,-118.3204,2.625
33.9891,-118.3206,0.0
33.9873,-118.3206,9.625
33.9855,-118.3206,0.0
33.9837,-118.3206,7.875
33.9807,-118.3207,3.5
33.9782,-118.3207,10.5
33.9764,-118.3207,5.25
34.0581,-118.3165,9.625
34.0559,-118.3165,21.875
34.0583,-118.2616,0.0
34.0531,-118.3186,28.875
34.0512,-118.3195,13.125
34.049,-118.3205,2.625
34.0473,-118.3213,7.875
34.0461,-118.3213,2.625
34.0454,-118.3213,32.375
34.0436,-118.3213,0.0
34.0418,-118.3213,2.625
34.0408,-118.3213,5.25
34.0399,-118.3213,5.25
34.0387,-118.3213,5.25
34.038,-118.3213,0.0
34.0373,-118.3213,0.0
34.035,-118.3212,0.0
34.0344,-118.3212,2.625
34.0296,-118.3212,5.25
34.0287,-118.3212,0.0
34.0274,-118.3212,0.0
34.0256,-118.3212,0.0
34.0241,-118.3213,10.5
34.0229,-118.3213,2.625
34.0108,-118.3214,26.25
34.0073,-118.3214,2.625
34.0055,-118.3214,2.625
34.0037,-118.3214,0.0
34.0024,-118.3214,0.0
34.0016,-118.3214,2.625
34.0007,-118.3214,10.5
34.0,-118.3214,0.0
33.9987,-118.3214,2.625
33.9975,-118.3214,0.0
33.9962,-118.3214,2.625
33.995,-118.3214,5.25
33.9932,-118.3215,0.0
33.9909,-118.3215,0.0
33.9891,-118.3216,0.0
33.9873,-118.3216,0.0
33.9855,-118.3216,2.625
33.9837,-118.3216,0.0
33.9815,-118.3216,14.875
33.9794,-118.3216,0.0
33.9782,-118.3216,5.25
33.9764,-118.3217,13.125
34.0559,-118.3176,29.75
34.0534,-118.3196,28.875
34.0514,-118.3206,7.0
34.0496,-118.3214,8.75
34.0474,-118.3224,3.5
34.0462,-118.3225,0.0
34.0454,-118.3225,7.875
34.0436,-118.3225,3.5
34.0418,-118.3225,13.125
34.0399,-118.3225,0.0
34.038,-118.3225,0.0
34.0372,-118.3226,3.5
34.0355,-118.3225,0.0
34.0343,-118.3224,0.0
